run_id,model_name,quantization_artifact,quantization_dtype,quantization_granularity,quantization_method,metric_name,metric_value,artifact_path,calibration_dataset,num_calibration_samples
ff78a5f641,Qwen/Qwen3-4B,none,none,none,baseline,"exact_match,strict-match",0.0,Qwen/Qwen3-4B,HuggingFaceH4/ultrachat_200k,1
ff78a5f641,Qwen/Qwen3-4B,none,none,none,baseline,"exact_match,flexible-extract",0.0,Qwen/Qwen3-4B,HuggingFaceH4/ultrachat_200k,1
cb23f0802d,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:token,dynamic,"exact_match,strict-match",0.0,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/dynamic/cb23f0802d/model,HuggingFaceH4/ultrachat_200k,8
cb23f0802d,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:token,dynamic,"exact_match,flexible-extract",0.0,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/dynamic/cb23f0802d/model,HuggingFaceH4/ultrachat_200k,8
6c12afb3e6,Qwen/Qwen3-4B,none,none,none,baseline,"exact_match,strict-match",0.0,Qwen/Qwen3-4B,HuggingFaceH4/ultrachat_200k,1
6c12afb3e6,Qwen/Qwen3-4B,none,none,none,baseline,"exact_match,flexible-extract",1.0,Qwen/Qwen3-4B,HuggingFaceH4/ultrachat_200k,1
6a541bfcea,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:token,dynamic,"exact_match,strict-match",1.0,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/dynamic/6a541bfcea/model,HuggingFaceH4/ultrachat_200k,8
6a541bfcea,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:token,dynamic,"exact_match,flexible-extract",1.0,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/dynamic/6a541bfcea/model,HuggingFaceH4/ultrachat_200k,8
ff88ae73c7,Qwen/Qwen3-4B,none,none,none,baseline,"exact_match,strict-match",0.0,Qwen/Qwen3-4B,none,0
ff88ae73c7,Qwen/Qwen3-4B,none,none,none,baseline,"exact_match,flexible-extract",1.0,Qwen/Qwen3-4B,none,0
a023e30494,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:token,dynamic,"exact_match,strict-match",1.0,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/dynamic/a023e30494/model,none,0
a023e30494,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:token,dynamic,"exact_match,flexible-extract",1.0,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/dynamic/a023e30494/model,none,0
407f57b34c,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:tensor,static,"exact_match,strict-match",0.0,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/static/407f57b34c/model,HuggingFaceH4/ultrachat_200k,200
407f57b34c,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:tensor,static,"exact_match_stderr,strict-match",0.0,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/static/407f57b34c/model,HuggingFaceH4/ultrachat_200k,200
407f57b34c,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:tensor,static,"exact_match,flexible-extract",0.0,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/static/407f57b34c/model,HuggingFaceH4/ultrachat_200k,200
407f57b34c,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:tensor,static,"exact_match_stderr,flexible-extract",0.0,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/static/407f57b34c/model,HuggingFaceH4/ultrachat_200k,200
22f7c43add,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:tensor,static,"exact_match,strict-match",0.6,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/static/22f7c43add/model,HuggingFaceH4/ultrachat_200k,200
22f7c43add,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:tensor,static,"exact_match_stderr,strict-match",0.1632993161855452,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/static/22f7c43add/model,HuggingFaceH4/ultrachat_200k,200
