run_id,model_name,quantization_artifact,quantization_dtype,quantization_granularity,quantization_method,metric_name,metric_value,artifact_path,calibration_dataset,num_calibration_samples
a4583c303f,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:token,dynamic,"acc,none",0.5824561403508772,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/dynamic/a4583c303f/model,none,0
a4583c303f,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:token,dynamic,"acc_stderr,none",0.019360170008475844,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/dynamic/a4583c303f/model,none,0
e8fd400e60,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:block+activations:group,dynamic,"acc,none",0.5350877192982456,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/dynamic/e8fd400e60/model,none,0
e8fd400e60,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:block+activations:group,dynamic,"acc_stderr,none",0.019492202704677143,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/dynamic/e8fd400e60/model,none,0
a84ae91456,Qwen/Qwen3-4B,weights+activations,weights:int8+activations:int8,weights:channel+activations:token,dynamic,"acc,none",0.5631578947368421,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/dynamic/a84ae91456/model,none,0
a84ae91456,Qwen/Qwen3-4B,weights+activations,weights:int8+activations:int8,weights:channel+activations:token,dynamic,"acc_stderr,none",0.01963205886736201,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/dynamic/a84ae91456/model,none,0
0aadee2984,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:tensor,static,"acc,none",0.5666666666666667,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/static/0aadee2984/model,HuggingFaceH4/ultrachat_200k,200
0aadee2984,Qwen/Qwen3-4B,weights+activations,weights:fp8+activations:fp8,weights:channel+activations:tensor,static,"acc_stderr,none",0.01931595855545467,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/static/0aadee2984/model,HuggingFaceH4/ultrachat_200k,200
c9a784c317,Qwen/Qwen3-4B,weights+activations,weights:int8+activations:int8,weights:channel+activations:tensor,static,"acc,none",0.2649122807017544,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/static/c9a784c317/model,HuggingFaceH4/ultrachat_200k,200
c9a784c317,Qwen/Qwen3-4B,weights+activations,weights:int8+activations:int8,weights:channel+activations:tensor,static,"acc_stderr,none",0.018316327208615,/mnt/ssd2/shreyansh/ptq_experiments/artifacts/Qwen3-4B/static/c9a784c317/model,HuggingFaceH4/ultrachat_200k,200
